SiteID,Sample Date,CAS,Value
11456500,4/18/17 15:50,138261-41-3,16
11456500,5/2/17 16:10,138261-41-3,16
11456500,4/11/17 17:20,1071-83-6,0.02
11456500,4/25/17 20:30,138261-41-3,16
11456500,4/11/17 17:20,1066-51-9,0.02
11456500,4/11/17 17:20,35597-44-5,0.02
11456500,4/11/17 17:20,88671-89-0,7
11456500,4/11/17 17:20,138261-41-3,16
11456500,5/2/17 16:10,88671-89-0,7
11456500,5/9/17 15:30,1066-51-9,0.02
11456500,4/4/17 16:00,138261-41-3,16
11456500,5/9/17 15:30,138261-41-3,16
11456500,4/4/17 16:00,88671-89-0,7
11456500,4/18/17 15:50,88671-89-0,10
11456500,5/9/17 15:30,1071-83-6,0.02
11456500,4/25/17 20:30,88671-89-0,4.8296
11456500,5/9/17 15:30,88671-89-0,32.3261
11456500,5/9/17 15:30,35597-44-5,0.02
11458300,5/10/17 15:20,1066-51-9,0.02
11458300,4/5/17 19:30,138261-41-3,16
11458300,4/12/17 16:30,1066-51-9,0.02
11458300,5/10/17 15:20,88671-89-0,7
11458300,4/19/17 23:40,138261-41-3,16
11458300,4/5/17 19:30,88671-89-0,7
11458300,5/10/17 15:20,35597-44-5,0.02
11458300,5/3/17 23:10,88671-89-0,7
11458300,5/10/17 15:20,1071-83-6,0.02
11458300,5/10/17 15:20,138261-41-3,16
11458300,5/3/17 23:10,138261-41-3,16
11458300,4/12/17 16:30,1071-83-6,0.02
11458300,4/12/17 16:30,35597-44-5,0.02
11458300,4/12/17 16:30,138261-41-3,16
11458300,4/12/17 16:30,88671-89-0,7
11458300,4/26/17 23:10,138261-41-3,16
11458300,4/26/17 23:10,88671-89-0,7
11458300,4/19/17 23:40,88671-89-0,10
3.82017E+14,5/11/17 15:50,1071-83-6,0.02
3.82017E+14,5/11/17 15:50,35597-44-5,0.02
3.82017E+14,4/13/17 15:50,138261-41-3,16
3.82017E+14,4/6/17 15:40,88671-89-0,7
3.82017E+14,4/13/17 15:50,1071-83-6,0.04
3.82017E+14,4/13/17 15:50,1066-51-9,0.03
3.82017E+14,4/20/17 17:10,138261-41-3,16
3.82017E+14,5/11/17 15:50,1066-51-9,0.05
3.82017E+14,5/11/17 15:50,88671-89-0,7
3.82017E+14,4/13/17 15:50,35597-44-5,0.02
3.82017E+14,4/27/17 17:00,88671-89-0,7
3.82017E+14,5/11/17 15:50,138261-41-3,16
3.82017E+14,4/20/17 17:10,88671-89-0,7
3.82017E+14,5/4/17 17:00,138261-41-3,16
3.82017E+14,4/13/17 15:50,88671-89-0,7
3.82017E+14,4/27/17 17:00,138261-41-3,16
3.82017E+14,4/6/17 15:40,138261-41-3,16
3.82017E+14,5/4/17 17:00,88671-89-0,3.6135
3.83305E+14,5/2/17 21:20,138261-41-3,16
3.83305E+14,4/18/17 21:30,138261-41-3,16
3.83305E+14,4/18/17 21:30,88671-89-0,10
3.83305E+14,4/25/17 15:50,88671-89-0,7
3.83305E+14,4/25/17 15:50,138261-41-3,16
3.83305E+14,5/9/17 20:20,138261-41-3,16
3.83305E+14,5/9/17 20:20,88671-89-0,7
3.83305E+14,5/2/17 21:20,88671-89-0,7
3.83321E+14,4/11/17 22:30,1066-51-9,0.02
3.83321E+14,4/11/17 22:30,1071-83-6,0.02
3.83321E+14,5/9/17 17:50,1066-51-9,0.03
3.83321E+14,4/11/17 22:30,138261-41-3,16
3.83321E+14,4/11/17 22:30,35597-44-5,0.02
3.83321E+14,4/4/17 19:10,138261-41-3,16
3.83321E+14,5/9/17 17:50,138261-41-3,11.2034
3.83321E+14,5/9/17 17:50,1071-83-6,0.02
3.83321E+14,4/18/17 19:00,138261-41-3,16
3.83321E+14,5/2/17 19:30,88671-89-0,7
3.83321E+14,5/9/17 17:50,88671-89-0,7
3.83321E+14,4/25/17 17:40,138261-41-3,8.2155
3.83321E+14,5/2/17 19:30,138261-41-3,14.6994
3.83321E+14,4/11/17 22:30,88671-89-0,7
3.83321E+14,4/18/17 19:00,88671-89-0,10
3.83321E+14,5/9/17 17:50,35597-44-5,0.02
3.83321E+14,4/25/17 17:40,88671-89-0,7
3.83321E+14,4/4/17 19:10,88671-89-0,7
